Kelurahan,Total Penduduk,Total Luas Wilayah (km^2),Tingkat Kepdatan (Jiwa/km^2)
Arjowinangun,12849,2.68,4794.402985
Tlogowaru,6913,4.021,1719.224074
Wonokoyo,7464,5.591,1335.002683
Bumiayu,20555,3.919,5244.960449
Buring,16399,5.567,2945.751751
Mergosono,17839,0.559,31912.34347
Kotalama,29760,0.862,34524.36195
Kedungkandang,11923,2.797,4262.781552
Sawojajar,25915,1.853,13985.42903
Madyopuro,23181,4.025,5759.254658
Lesanpuro,20151,3.101,6498.226379
Cemorokandang,14479,4.877,2968.833299
Kebonsari,9918,1.653,6000
Gadang,19647,1.945,10101.28535
Ciptomulyo,12767,0.877,14557.58267
Sukun,18362,1.224,15001.63399
Bandungrejosari,30441,2.801,10867.90432
Bakalan Krajan,10371,1.771,5856.013552
Mulyorejo,16300,2.954,5517.941774
Bandulan,17224,2.223,7748.088169
Tanjungrejo,27947,0.973,28722.50771
Pisang Candi,14240,1.782,7991.021324
Karang Besuki,19083,2.661,7171.364149
Kasin,11643,1.015,11470.93596
Sukoharjo,8165,0.603,13540.63018
Kidul Dalem,5501,0.457,12037.19912
Kauman,8072,0.833,9690.27611
Bareng,13982,1.082,12922.36599
Gadingkasri,7918,0.871,9090.700344
Oro Oro Dowo,9754,1.349,7230.541142
Klojen,5164,0.823,6274.605103
Rampal Celaket,5376,0.515,10438.83495
Samaan,9815,0.527,18624.28843
Penanggungan,8722,0.754,11567.63926
Jodipan,11401,0.466,24465
Polehan,18404,0.99,18589
Kesatrian,10623,1.541,6893.5756
Bunulrejo,24533,2.381,10303.65393
Purwantoro,26969,1.982,13606.96266
Pandanwangi,32454,3.54,9167.79661
Blimbing,8613,1.168,7374.143836
Purwodadi,18792,1.507,12469.80756
Polowijen,12085,1.455,8305.841924
Arjosari,9584,1.088,8808.823529
Balearjosari,8873,1.613,5500.929944
Merjosari,17842,3.985,4477.289837
Dinoyo,10536,1.224,8607.843137
Sumbersari,7486,1.362,5496.328928
Ketawanggede,4803,0.794,6049
Jatimulyo,18955,2.612,7256.891271
Lowokwaru,18022,1.233,14616.38281
Tulusrejo,16657,1.303,12783.57636
Mojolangu,21226,2.865,7408.726003
Tunjungsekar,17191,1.909,9005.238345
Tasikmadu,7985,2.594,3078.257517
Tunggulwulung,9190,1.952,4707.991803
Tlogomas,13746,1.968,6984.756098
Total,843810,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
