Kelurahan,Total Penduduk
Arjowinangun,12849
Tlogowaru,6913
Wonokoyo,7464
Bumiayu,20555
Buring,16399
Mergosono,17839
Kotalama,29760
Kedungkandang,11923
Sawojajar,25915
Madyopuro,23181
Lesanpuro,20151
Cemorokandang,14479
Kebonsari,9918
Gadang,19647
Ciptomulyo,12767
Sukun,18362
Bandungrejosari,30441
Bakalan Krajan,10371
Mulyorejo,16300
Bandulan,17224
Tanjungrejo,27947
Pisang Candi,14240
Karang Besuki,19083
Kasin,11643
Sukoharjo,8165
Kidul Dalem,5501
Kauman,8072
Bareng,13982
Gadingkasri,7918
Oro Oro Dowo,9754
Klojen,5164
Rampal Celaket,5376
Samaan,9815
Penanggungan,8722
Jodipan,11401
Polehan,18404
Kesatrian,10623
Bunulrejo,24533
Purwantoro,26969
Pandanwangi,32454
Blimbing,8613
Purwodadi,18792
Polowijen,12085
Arjosari,9584
Balearjosari,8873
Merjosari,17842
Dinoyo,10536
Sumbersari,7486
Ketawanggede,4803
Jatimulyo,18955
Lowokwaru,18022
Tulusrejo,16657
Mojolangu,21226
Tunjungsekar,17191
Tasikmadu,7985
Tunggulwulung,9190
Tlogomas,13746
